FILE NAME                               POSITIVE WORDS      NEGATIVE WORDS      STOP WORDS          POLARITY            TIME TAKEN
----------------------------------------------------------------------------------------------------------------------------------
1000_La_Divina_Commedia_di_Dante        0                   0                   0                   0                   0.0000016s
100_The_Complete_Works_of_William_.txt  2115                1939                412                 176                 0.5970424s
101_The_Hacker_Crackdown                0                   0                   0                   0                   0.0000008s
102_The_Tragedy_of_Pudd'nhead_Wils.txt  1052                694                 317                 358                 0.0322448s
103_Around_the_World_in_Eighty_Day.txt  1050                585                 304                 465                 0.0442248s
104_Inaugural_Address_of_Franklin_.txt  276                 79                  156                 197                 0.0036968s
105_Persuasion.txt                      1171                678                 301                 493                 0.0606710s
106_Jungle_Tales_of_Tarzan.txt          1064                781                 290                 283                 0.0494738s
107_Far_from_the_Madding_Crowd.txt      1558                1147                346                 411                 0.0949163s
108_The_Return_of_Sherlock_Holmes.txt   1314                921                 306                 393                 0.0718764s
109_Renascence,_and_Other_Poems.txt     382                 206                 223                 176                 0.0065118s
10_The_King_James_Version_of_the_.txt   1176                876                 332                 300                 0.4208126s
110_Tess_of_the_d'Urbervilles           0                   0                   0                   0                   0.0000013s
111_Freckles.txt                        1136                687                 301                 449                 0.0543652s
112_Violists.txt                        690                 280                 272                 410                 0.0157074s
113_The_Secret_Garden.txt               832                 482                 285                 350                 0.0507010s
114_The_Tenniel_Illustrations_for_.txt  142                 33                  119                 109                 0.0034964s
115_United_States_Census_Figures_B.txt  182                 32                  154                 150                 0.0289231s
117_Symphony_No._5_in_C_minor_Opus.txt  131                 28                  115                 103                 0.0020627s
118_Big_Dummy's_Guide_to_the_Inter.txt  695                 265                 300                 430                 0.0381381s
119_A_Tramp_Abroad.txt                  1689                1198                356                 491                 0.1118871s
11_Alice's_Adventures_in_Wonderla.txt   511                 267                 261                 244                 0.0182159s
120_Treasure_Island.txt                 893                 649                 304                 244                 0.0486345s
121_Northanger_Abbey.txt                1184                697                 307                 487                 0.0675740s
122_The_Return_of_the_Native.txt        1472                1101                347                 371                 0.1116638s
123_At_the_Earth's_Core.txt             925                 568                 292                 357                 0.0358863s
124_Deuterocanonical_Books_of_the_.txt  968                 627                 318                 341                 0.0906174s
125_A_Girl_of_the_Limberlost.txt        1210                733                 289                 477                 0.0793739s
126_The_Poison_Belt.txt                 822                 529                 285                 293                 0.0276708s
128_The_Arabian_Nights_Entertainme.txt  1142                701                 320                 441                 0.0657681s
129_The_Square_Root_of_2.txt            142                 28                  120                 114                 0.0599761s
12_Through_the_Looking-Glass.txt        560                 302                 260                 258                 0.0188955s
130_Orthodoxy.txt                       1206                827                 289                 379                 0.0408379s
131_The_Pilgrim's_Progress_from_th.txt  800                 535                 311                 265                 0.0346848s
132_The_Art_of_War.txt                  1060                710                 314                 350                 0.0354322s
133_The_Damnation_of_Theron_Ware.txt    1624                1114                332                 510                 0.0632558s
134_Maria;_Or,_The_Wrongs_of_Woman.txt  1092                785                 273                 307                 0.0311791s
135_Les_Misérables.txt                  2087                1835                380                 252                 0.3427638s
136_A_Child's_Garden_of_Verses.txt      376                 129                 211                 247                 0.0054271s
137_Sara_Crewe;_Or,_What_Happened_.txt  513                 233                 255                 280                 0.0098694s
138_George_Sand                         0                   0                   0                   0                   0.0000019s
139_The_Lost_World.txt                  1210                861                 313                 349                 0.0457771s
13_The_Hunting_of_the_Snark             0                   0                   0                   0                   0.0000008s
140_The_Jungle.txt                      1264                1101                326                 163                 0.0794346s
141_Mansfield_Park.txt                  1433                965                 320                 468                 0.0981538s
142_The_$30,000_Bequest,_and_Other.txt  1579                1003                341                 576                 0.0651167s
143_The_Mayor_of_Casterbridge.txt       1402                1012                339                 390                 0.0760909s
144_The_Voyage_Out.txt                  1381                1054                313                 327                 0.0755130s
145_Middlemarch.txt                     2064                1641                369                 423                 0.2116358s
146_A_Little_Princess                   0                   0                   0                   0                   0.0000005s
147_Common_Sense.txt                    704                 409                 278                 295                 0.0163047s
148_The_Autobiography_of_Benjamin_.txt  1088                571                 330                 517                 0.0433949s
149_The_Lost_Continent.txt              847                 543                 275                 304                 0.0215808s
14_The_1990_CIA_World_Factbook.txt      820                 355                 259                 465                 0.1682191s
150_The_Republic.txt                    1324                870                 335                 454                 0.0832815s
151_The_Rime_of_the_Ancient_Marine.txt  297                 120                 193                 177                 0.0044282s
152_Wild_Justice.txt                    971                 658                 306                 313                 0.0445883s
153_Jude_the_Obscure.txt                1503                1163                352                 340                 0.0992625s
154_The_Rise_of_Silas_Lapham.txt        1342                939                 323                 403                 0.0876656s
155_The_Moonstone.txt                   1457                1049                323                 408                 0.1277932s
156_Symphony_No._5_in_C_minor,_Opu.txt  131                 28                  115                 103                 0.0020664s
157_Daddy-Long-Legs.txt                 852                 448                 293                 404                 0.0267270s
158_Emma.txt                            1390                842                 313                 548                 0.0996961s
